file_name,bin,value
AMICO_BOSTON_103832163.jpg,10,1265
AMICO_CL_103800789.jpg,6,-1180
AMICO_DALLAS_103842196.jpg,10,-343
AMICO_DALLAS_103842510.jpg,10,1034
AMICO_DALLAS_103842720.jpg,20,-645
AMICO_DETROIT_1039543436.jpg,6,305
AMOMA_10312309689.jpg,8,830
AMOMA_10312309710.jpg,17,1136
AMOMA_10312309869.jpg,11,311
AMOMA_10312309870.jpg,24,-84
AMOMA_10312310046.jpg,9,571
AMOMA_10312310434.jpg,10,1289
AMOMA_10312310466.jpg,24,200
AMOMA_10312310643.jpg,7,63
AMOMA_10312310866.jpg,7,822
APHILLIPSIG_10310732416.jpg,12,-1463
APHILLIPSIG_10310732418.jpg,12,-1152
APHILLIPSIG_10310732947.jpg,13,-1295
APHILLIPSIG_10310733197.jpg,10,-1686
APHILLIPSIG_10310733221.jpg,7,524
AROTHKO_10310192981.jpg,22,-643
AROTHKO_10310192983.jpg,16,-1806
AROTHKO_10310192984.jpg,13,-879
AROTHKO_10310192985.jpg,17,1305
AROTHKO_10310192986.jpg,15,1103
AROTHKO_10310192987.jpg,10,-2381
AROTHKO_10310192988.jpg,16,626
AROTHKO_10310192989.jpg,25,315
AROTHKO_10310192990.jpg,7,1484
AROTHKO_10310192991.jpg,17,741
AROTHKO_10310192992.jpg,21,-1128
AROTHKO_10310192994.jpg,27,86
AROTHKO_10310192996.jpg,13,-651
AROTHKO_10310192998.jpg,25,-12
AROTHKO_10310193002.jpg,15,-1601
AROTHKO_10310193003.jpg,12,632
AROTHKO_10310193004.jpg,12,-875
AROTHKO_10310193005.jpg,5,-1016
AROTHKO_10310193006.jpg,13,331
AROTHKO_10310193008.jpg,10,557
AROTHKO_10310193009.jpg,10,1719
AROTHKO_10310193010.jpg,5,59
AROTHKO_10310193011.jpg,29,85
AROTHKO_10310193013.jpg,13,611
AROTHKO_10310193014.jpg,18,1268
AROTHKO_10310193015.jpg,13,-617
AROTHKO_10310193016.jpg,2,-61
AROTHKO_10310193017.jpg,16,-1238
AROTHKO_10310193018.jpg,10,1703
AROTHKO_10310193019.jpg,12,-785
AROTHKO_10310193020.jpg,12,-1323
AROTHKO_10310193021.jpg,12,1021
AROTHKO_10310193022.jpg,5,605
AROTHKO_10310800255.jpg,24,518
AROTHKO_10310800256.jpg,22,-899
AROTHKO_10310800257.jpg,23,468
AROTHKO_10310800258.jpg,22,-247
AROTHKO_10310800259.jpg,22,-260
AROTHKO_10310800260.jpg,22,-272
AROTHKO_10310800261.jpg,17,927
AROTHKO_10310800262.jpg,25,-345
AROTHKO_10310800263.jpg,26,525
AROTHKO_10310800264.jpg,23,-983
AROTHKO_10310800265.jpg,16,584
AROTHKO_10310800266.jpg,22,-1020
AROTHKO_10310800267.jpg,22,-1472
AROTHKO_10310800268.jpg,26,52
AROTHKO_10310800269.jpg,18,856
AROTHKO_10310800270.jpg,21,-724
AROTHKO_10310800271.jpg,20,667
AROTHKO_10310800272.jpg,16,59
AROTHKO_10310800273.jpg,26,-535
AROTHKO_10310800274.jpg,24,-413
AROTHKO_10310800275.jpg,19,1001
AROTHKO_10310800276.jpg,23,-1393
AROTHKO_10310800277.jpg,27,624
AROTHKO_10310800278.jpg,21,220
AROTHKO_10310800281.jpg,21,740
AROTHKO_10310800283.jpg,26,-1223
AROTHKO_10310800284.jpg,14,511
AROTHKO_10310800285.jpg,26,-2018
AROTHKO_10310800286.jpg,16,1477
AROTHKO_10310800287.jpg,15,52
AROTHKO_10310800288.jpg,17,238
AROTHKO_10310800289.jpg,22,239
AROTHKO_10310800290.jpg,16,111
AROTHKO_10310800291.jpg,19,-1359
AROTHKO_10310800292.jpg,9,1499
AROTHKO_10310800293.jpg,17,150
AROTHKO_10310800294.jpg,10,-1996
AROTHKO_10312336328.jpg,27,-641
AROTHKO_10312336329.jpg,17,-338
AROTHKO_10312336330.jpg,24,-103
AROTHKO_10312336332.jpg,22,-606
AROTHKO_10312336333.jpg,22,-646
AROTHKO_10312336334.jpg,19,-219
AROTHKO_10312336335.jpg,18,-196
AROTHKO_10312336336.jpg,23,-664
AROTHKO_10312336338.jpg,21,-163
AROTHKO_10312336339.jpg,22,214
AROTHKO_10312336340.jpg,22,353
AROTHKO_10312336341.jpg,20,71
AROTHKO_10312336342.jpg,23,10
AROTHKO_10312336345.jpg,25,-791
AROTHKO_10312336346.jpg,24,108
AROTHKO_10312336347.jpg,23,-682
AROTHKO_10312336348.jpg,25,279
AROTHKO_10312336350.jpg,27,-140
AROTHKO_10312336352.jpg,24,-427
AROTHKO_10312336353.jpg,21,-584
AROTHKO_10312336354.jpg,24,715
AROTHKO_10312336355.jpg,26,-169
AROTHKO_10312336357.jpg,22,-245
AROTHKO_10312336359.jpg,23,-234
AROTHKO_10312336360.jpg,23,-105
AROTHKO_10312336361.jpg,22,-257
AROTHKO_10312336363.jpg,22,-249
AROTHKO_10312336367.jpg,21,-1061
AROTHKO_10312336368.jpg,21,1415
AROTHKO_10312336371.jpg,20,-104
AROTHKO_10312336372.jpg,22,-263
AROTHKO_10312336373.jpg,20,376
AROTHKO_10312336376.jpg,22,-400
AROTHKO_10312336377.jpg,21,-687
AROTHKO_10312336378.jpg,23,-934
AROTHKO_10312336379.jpg,24,301
AROTHKO_10312336380.jpg,26,-158
AROTHKO_10312561435.jpg,11,-160
AROTHKO_10312561436.jpg,2,-922
AROTHKO_10312561440.jpg,2,-370
AROTHKO_10312561441.jpg,5,-518
AROTHKO_10312561442.jpg,3,-1135
AROTHKO_10312561443.jpg,5,-356
AROTHKO_10312561444.jpg,4,-11
AROTHKO_10312561445.jpg,4,-113
AROTHKO_10312561446.jpg,3,-439
AROTHKO_10312561447.jpg,2,-554
AROTHKO_10312561448.jpg,3,-155
AROTHKO_10312561449.jpg,1,-97
AROTHKO_10312561450.jpg,12,285
AROTHKO_10312561451.jpg,3,-967
AROTHKO_10312561452.jpg,17,-1060
AROTHKO_10312561453.jpg,17,699
AROTHKO_10312561454.jpg,13,1040
AROTHKO_10312561455.jpg,18,461
AROTHKO_10312561456.jpg,13,512
AROTHKO_10312561457.jpg,5,-914
AROTHKO_10312561458.jpg,12,262
AROTHKO_10312561459.jpg,16,-31
AROTHKO_10312561460.jpg,8,-807
AROTHKO_10312561461.jpg,8,-497
AROTHKO_10312561462.jpg,5,306
AROTHKO_10312561463.jpg,10,846
AROTHKO_10312561464.jpg,5,-238
AROTHKO_10312561465.jpg,7,-430
AROTHKO_10312561466.jpg,10,394
AROTHKO_10312561467.jpg,9,272
AROTHKO_10312561468.jpg,3,-215
AROTHKO_10312561469.jpg,9,-1263
AROTHKO_10312561471.jpg,21,-1754
AROTHKO_10312561472.jpg,27,-863
AROTHKO_10313269609.jpg,20,-974
AROTHKO_10313269610.jpg,23,-667
AROTHKO_10313269611.jpg,15,251
AROTHKO_10313269612.jpg,17,-751
AROTHKO_10313269613.jpg,16,376
AROTHKO_10313269614.jpg,24,-1019
AROTHKO_10313269615.jpg,18,-204
AROTHKO_10313269616.jpg,21,-598
AROTHKO_10313269617.jpg,23,237
AROTHKO_10313269618.jpg,20,-886
AROTHKO_10313269619.jpg,17,-143
AROTHKO_10313269620.jpg,18,-1319
AROTHKO_10313269621.jpg,24,-552
AROTHKO_10313269622.jpg,22,679
AROTHKO_10313269623.jpg,25,-535
AROTHKO_10313269624.jpg,24,-947
AROTHKO_10313269625.jpg,24,278
AROTHKO_10313269626.jpg,22,989
AROTHKO_10313269627.jpg,21,-72
AROTHKO_10313269628.jpg,20,429
AROTHKO_10313269629.jpg,20,-186
AROTHKO_10313269630.jpg,18,485
AROTHKO_10313269631.jpg,19,797
AROTHKO_10313269632.jpg,18,936
AROTHKO_10313269633.jpg,20,290
AROTHKO_10313269634.jpg,8,491
AROTHKO_10313269635.jpg,3,-127
AROTHKO_10313269636.jpg,3,-47
AROTHKO_10313269637.jpg,6,-445
AROTHKO_10313269638.jpg,18,1590
AROTHKO_10313269639.jpg,7,-286
AROTHKO_10313269640.jpg,9,-50
AROTHKO_10313269641.jpg,14,183
AROTHKO_10313269642.jpg,15,290
AROTHKO_10313269643.jpg,9,437
AROTHKO_10313269644.jpg,16,2209
AROTHKO_10313269645.jpg,10,33
AROTHKO_10313269646.jpg,7,-421
AROTHKO_10313269647.jpg,10,943
AROTHKO_10313269648.jpg,11,353
AROTHKO_10313269649.jpg,3,-465
AROTHKO_10313269650.jpg,8,-1364
AROTHKO_10313269651.jpg,14,-693
AROTHKO_10313269652.jpg,9,-774
AROTHKO_10313269653.jpg,13,-1
AROTHKO_10313269654.jpg,5,-1019
AROTHKO_10313269655.jpg,9,-546
AROTHKO_10313269656.jpg,14,1583
AROTHKO_10313269657.jpg,27,-939
AROTHKO_10313269658.jpg,7,98
AROTHKO_10313269659.jpg,5,-146
AROTHKO_10313269660.jpg,5,-365
AROTHKO_10313269661.jpg,11,-208
AROTHKO_10313269662.jpg,11,-345
AROTHKO_10313269663.jpg,6,232
AROTHKO_10313269664.jpg,15,-647
AROTHKO_10313269665.jpg,12,746
AROTHKO_10313269667.jpg,4,-179
AROTHKO_10313269668.jpg,5,441
AROTHKO_10313269670.jpg,17,-1087
AROTHKO_10313269671.jpg,25,-1283
AROTHKO_10313269672.jpg,28,-165
AROTHKO_10313269673.jpg,21,-79
AROTHKO_10313269674.jpg,21,209
AROTHKO_10313269675.jpg,18,100
AROTHKO_10313269676.jpg,23,944
AROTHKO_10313269677.jpg,19,597
AROTHKO_10313269678.jpg,15,462
AROTHKO_10313269679.jpg,20,-119
AROTHKO_10313269680.jpg,15,-148
AROTHKO_10313269681.jpg,23,770
AROTHKO_10313269682.jpg,19,-884
AROTHKO_10313269683.jpg,22,849
AROTHKO_10313269684.jpg,20,-342
AROTHKO_10313269685.jpg,22,-545
AROTHKO_10313269686.jpg,18,-735
AROTHKO_10313269687.jpg,16,-178
AROTHKO_10313269688.jpg,25,713
AROTHKO_10313269689.jpg,24,-1182
AROTHKO_10313269690.jpg,21,491
AROTHKO_10313269691.jpg,22,66
AROTHKO_10313269692.jpg,22,-305
AROTHKO_10313269693.jpg,20,197
AROTHKO_10313269694.jpg,19,463
AROTHKO_10313269695.jpg,22,-294
AROTHKO_10313269696.jpg,19,542
AROTHKO_10313269697.jpg,17,-639
AROTHKO_10313269698.jpg,23,50
AROTHKO_10313269700.jpg,19,-1256
AROTHKO_10313269701.jpg,20,147
AROTHKO_10313269702.jpg,19,-509
AROTHKO_10313269703.jpg,27,-435
AROTHKO_10313269704.jpg,22,1223
AROTHKO_10313269705.jpg,20,862
AROTHKO_10313269706.jpg,19,-573
AROTHKO_10313269707.jpg,25,-759
AROTHKO_10313269708.jpg,25,-1334
AROTHKO_10313269709.jpg,25,-1234
AROTHKO_10313269710.jpg,19,-264
AROTHKO_10313269711.jpg,19,400
AROTHKO_10313269712.jpg,21,-1201
AROTHKO_10313269713.jpg,19,-1078
AROTHKO_10313269714.jpg,24,-630
AROTHKO_10313269715.jpg,9,-372
AROTHKO_10313269716.jpg,8,-11
AROTHKO_10313269717.jpg,21,834
AROTHKO_10313269718.jpg,19,-1070
ARTSTOR_103_41822000271344.jpg,22,-1201
ARTSTOR_103_41822001161510.jpg,30,-184
ARTSTOR_103_41822001161528.jpg,23,-284
ARTSTOR_103_41822001161536.jpg,26,-290
ARTSTOR_103_41822001161551.jpg,22,-18
ARTSTOR_103_41822001161577.jpg,26,258
ARTSTOR_103_41822001161593.jpg,18,-545
ARTSTOR_103_41822001161601.jpg,20,0
ARTSTOR_103_41822001161619.jpg,27,438
ARTSTOR_103_41822001161627.jpg,25,1217
ARTSTOR_103_41822001161635.jpg,25,1217
ARTSTOR_103_41822001161650.jpg,17,372
ARTSTOR_103_41822001161700.jpg,19,-14
ARTSTOR_103_41822001161718.jpg,19,1233
ARTSTOR_103_41822001161726.jpg,17,-253
ARTSTOR_103_41822001161775.jpg,24,-745
ARTSTOR_103_41822001161783.jpg,16,-432
ARTSTOR_103_41822001161791.jpg,23,440
ARTSTOR_103_41822001161809.jpg,20,-723
ARTSTOR_103_41822001161825.jpg,20,-165
ARTSTOR_103_41822001161833.jpg,17,528
ARTSTOR_103_41822001161841.jpg,16,-586
ARTSTOR_103_41822001161858.jpg,5,1104
ARTSTOR_103_41822001161866.jpg,16,-365
ARTSTOR_103_41822001161874.jpg,16,-481
ARTSTOR_103_41822001161882.jpg,29,-729
ARTSTOR_103_41822001161890.jpg,18,-489
ARTSTOR_103_41822001161908.jpg,24,-267
ARTSTOR_103_41822001161916.jpg,17,36
ARTSTOR_103_41822001161924.jpg,27,-2008
ARTSTOR_103_41822001161932.jpg,20,1029
ARTSTOR_103_41822001161940.jpg,17,155
ARTSTOR_103_41822001161957.jpg,19,199
ARTSTOR_103_41822001161965.jpg,19,125
ARTSTOR_103_41822001161973.jpg,23,-1636
ARTSTOR_103_41822001161981.jpg,21,1086
ARTSTOR_103_41822001161999.jpg,21,602
ARTSTOR_103_41822001162013.jpg,7,795
ARTSTOR_103_41822001162039.jpg,23,187
ARTSTOR_103_41822001162047.jpg,14,-181
ARTSTOR_103_41822001162054.jpg,29,436
ARTSTOR_103_41822001162062.jpg,13,1885
ARTSTOR_103_41822001162070.jpg,26,926
ARTSTOR_103_41822001162088.jpg,15,-320
ARTSTOR_103_41822001162104.jpg,16,-1543
ARTSTOR_103_41822001162112.jpg,14,-800
ARTSTOR_103_41822001162120.jpg,12,882
ARTSTOR_103_41822001162138.jpg,9,-666
ARTSTOR_103_41822001162146.jpg,9,1030
ARTSTOR_103_41822001162161.jpg,15,1012
ARTSTOR_103_41822001162187.jpg,24,1579
ARTSTOR_103_41822001162195.jpg,11,913
ARTSTOR_103_41822001162211.jpg,10,-18
ARTSTOR_103_41822001162245.jpg,8,-1119
ARTSTOR_103_41822001162252.jpg,13,-955
ARTSTOR_103_41822001162260.jpg,7,-1445
ARTSTOR_103_41822001162278.jpg,9,-130
ARTSTOR_103_41822001162286.jpg,13,20
ARTSTOR_103_41822001162294.jpg,13,202
ARTSTOR_103_41822001162302.jpg,13,-231
ARTSTOR_103_41822001162310.jpg,9,-239
ARTSTOR_103_41822001162328.jpg,15,879
ARTSTOR_103_41822001162336.jpg,12,177
ARTSTOR_103_41822001162344.jpg,10,296
ARTSTOR_103_41822001162351.jpg,7,-843
ARTSTOR_103_41822001162369.jpg,15,-889
ARTSTOR_103_41822001162377.jpg,6,-542
ARTSTOR_103_41822001162401.jpg,10,130
ARTSTOR_103_41822001162419.jpg,13,-398
ARTSTOR_103_41822001162427.jpg,14,376
ARTSTOR_103_41822001162435.jpg,12,-256
ARTSTOR_103_41822001162476.jpg,8,237
ARTSTOR_103_41822001162484.jpg,9,247
ARTSTOR_103_41822001162492.jpg,11,498
ARTSTOR_103_41822001162542.jpg,12,-130
ARTSTOR_103_41822001162559.jpg,8,-74
ARTSTOR_103_41822001162583.jpg,10,-772
ARTSTOR_103_41822001162591.jpg,14,1107
ARTSTOR_103_41822001162609.jpg,7,-197
ARTSTOR_103_41822001162617.jpg,2,63
ARTSTOR_103_41822001162633.jpg,13,-456
ARTSTOR_103_41822001162641.jpg,14,-380
ARTSTOR_103_41822001162658.jpg,16,576
ARTSTOR_103_41822001162666.jpg,21,-1455
ARTSTOR_103_41822001162674.jpg,26,-956
ARTSTOR_103_41822001162682.jpg,13,-1081
ARTSTOR_103_41822001162690.jpg,30,-433
ARTSTOR_103_41822001162708.jpg,25,918
ARTSTOR_103_41822001162716.jpg,20,127
ARTSTOR_103_41822001162724.jpg,19,32
ARTSTOR_103_41822001162732.jpg,16,139
ARTSTOR_103_41822001162740.jpg,7,1084
ARTSTOR_103_41822001162765.jpg,10,674
ARTSTOR_103_41822001162773.jpg,13,1399
ARTSTOR_103_41822001162781.jpg,17,-1338
ARTSTOR_103_41822001162799.jpg,10,-65
ARTSTOR_103_41822001162807.jpg,8,-259
ARTSTOR_103_41822001162815.jpg,17,2204
ARTSTOR_103_41822001162823.jpg,15,258
ARTSTOR_103_41822001162831.jpg,6,-298
ARTSTOR_103_41822001162849.jpg,11,-1606
ARTSTOR_103_41822001162856.jpg,10,756
ARTSTOR_103_41822001162864.jpg,4,557
ARTSTOR_103_41822001162880.jpg,16,1709
ARTSTOR_103_41822001175692.jpg,11,1460
ARTSTOR_103_41822001393519.jpg,10,-656
ARTSTOR_103_41822001393527.jpg,10,-498
ARTSTOR_103_41822001393535.jpg,9,-732
ARTSTOR_103_41822001393543.jpg,14,687
ARTSTOR_103_41822001393550.jpg,12,-1095
ARTSTOR_103_41822001393568.jpg,9,-1640
ARTSTOR_103_41822001393576.jpg,7,-773
ARTSTOR_103_41822003051511.jpg,13,777
ARTSTOR_103_41822003051529.jpg,12,-692
ARTSTOR_103_41822003051537.jpg,7,-132
ARTSTOR_103_41822003778071.jpg,18,215
ASEATTLEIG_10312599036.jpg,10,-1167
ASEATTLEIG_10312600415.jpg,13,1002
ASEATTLEIG_10312601714.jpg,18,255
ASFMOMAIG_10312704351.jpg,12,-639
ASFMOMAIG_10312704449.jpg,24,977
ASFMOMAIG_10312704450.jpg,12,50
ASFMOMAIG_10312704622.jpg,11,-1394
ASLAMIG_10312597218.jpg,7,243
ASMITHIG_10313169127.jpg,1,-954
ASMITHIG_10313170336.jpg,1,-744
AYALEARTIG_10312577959.jpg,8,927
AYALEARTIG_10312578003.jpg,18,694
CARNEGIE_5020005.jpg,15,1323
CARNEGIE_5020006.jpg,12,70
LARRY_QUALLS_10310641485.jpg,20,1305
LARRY_QUALLS_10310641487.jpg,16,-157
LARRY_QUALLS_10310641529.jpg,27,-1993
LARRY_QUALLS_10310641530.jpg,15,808
LARRY_QUALLS_10310641532.jpg,15,707
LARRY_QUALLS_10310641533.jpg,11,-1532
LARRY_QUALLS_10310641534.jpg,7,1257
LARRY_QUALLS_10310641535.jpg,8,373
LARRY_QUALLS_10310641536.jpg,4,-569
LARRY_QUALLS_10310641537.jpg,14,-1186
LARRY_QUALLS_10310851147.jpg,25,-346
LARRY_QUALLS_10310851430.jpg,6,-796
LARRY_QUALLS_10311399953.jpg,18,-1659
LARRY_QUALLS_10311708081.jpg,21,648
LARRY_QUALLS_1039542282.jpg,4,805
LARRY_QUALLS_1039764633.jpg,12,1244
MMA_IAP_1039652270.jpg,8,123
